row	column	cor	p	group	DiffExp
121	CytolyticScore	DDX43	 3.470588e-01	1.878344e-01	ASPS	0
122	T.cells_CD8	DDX53	 8.197579e-02	7.627951e-01	ASPS	0
123	CytolyticScore	DDX53	-1.294355e-02	9.620543e-01	ASPS	0
124	T.cells_CD8	DKKL1	-1.164309e-01	6.676244e-01	ASPS	0
125	CytolyticScore	DKKL1	 3.881029e-02	8.865264e-01	ASPS	0
126	T.cells_CD8	DMRT1	-3.548634e-02	8.961938e-01	ASPS	0
127	CytolyticScore	DMRT1	-6.083373e-02	8.229111e-01	ASPS	0
128	T.cells_CD8	DNAJB8	 3.080616e-01	2.457252e-01	ASPS	0
129	CytolyticScore	DNAJB8	 4.200840e-01	1.052281e-01	ASPS	0
130	T.cells_CD8	DPPA2	 3.400211e-01	1.975494e-01	ASPS	0
131	CytolyticScore	DPPA2	 3.349080e-01	2.048086e-01	ASPS	0
132	T.cells_CD8	DSCR8	-1.900675e-01	4.807686e-01	ASPS	0
133	CytolyticScore	DSCR8	-2.858866e-01	2.830959e-01	ASPS	0
134	T.cells_CD8	ELOVL4	 1.794118e-01	5.061395e-01	ASPS	0
135	CytolyticScore	ELOVL4	 1.264706e-01	6.406944e-01	ASPS	0
136	T.cells_CD8	EPPIN	-1.639516e-01	5.440252e-01	ASPS	0
137	CytolyticScore	EPPIN	-3.020161e-02	9.115916e-01	ASPS	0
138	T.cells_CD8	FAM133A	 2.743375e-01	3.038391e-01	ASPS	0
139	CytolyticScore	FAM133A	 1.209445e-01	6.554679e-01	ASPS	0
140	T.cells_CD8	FAM46D	-1.294355e-01	6.328196e-01	ASPS	0
141	CytolyticScore	FAM46D	-1.294355e-01	6.328196e-01	ASPS	0
142	T.cells_CD8	FATE1	-6.470588e-02	8.118215e-01	ASPS	0
143	CytolyticScore	FATE1	 9.117647e-02	7.370050e-01	ASPS	0
144	T.cells_CD8	FBXO39	 2.529412e-01	3.445630e-01	ASPS	0
145	CytolyticScore	FBXO39	 4.205882e-01	1.047675e-01	ASPS	0
146	T.cells_CD8	FMR1NB	-1.096326e-01	6.860804e-01	ASPS	0
147	CytolyticScore	FMR1NB	-8.889133e-03	9.739357e-01	ASPS	0
148	T.cells_CD8	FTHL17	NA	NA	ASPS	0
149	CytolyticScore	FTHL17	NA	NA	ASPS	0
150	T.cells_CD8	GAGE1	NA	NA	ASPS	0
151	CytolyticScore	GAGE1	NA	NA	ASPS	0
152	T.cells_CD8	GAGE12B	NA	NA	ASPS	0
153	CytolyticScore	GAGE12B	NA	NA	ASPS	0
154	T.cells_CD8	GAGE12C	NA	NA	ASPS	0
155	CytolyticScore	GAGE12C	NA	NA	ASPS	0
156	T.cells_CD8	GAGE12D	NA	NA	ASPS	0
157	CytolyticScore	GAGE12D	NA	NA	ASPS	0
158	T.cells_CD8	GAGE12E	NA	NA	ASPS	0
159	CytolyticScore	GAGE12E	NA	NA	ASPS	0
160	T.cells_CD8	GAGE12F	NA	NA	ASPS	0
161	CytolyticScore	GAGE12F	NA	NA	ASPS	0
162	T.cells_CD8	GAGE12G	NA	NA	ASPS	0
163	CytolyticScore	GAGE12G	NA	NA	ASPS	0
164	T.cells_CD8	GAGE12H	NA	NA	ASPS	0
165	CytolyticScore	GAGE12H	NA	NA	ASPS	0
166	T.cells_CD8	GAGE12I	NA	NA	ASPS	0
167	CytolyticScore	GAGE12I	NA	NA	ASPS	0
168	T.cells_CD8	GAGE12J	NA	NA	ASPS	0
169	CytolyticScore	GAGE12J	NA	NA	ASPS	0
170	T.cells_CD8	GAGE13	NA	NA	ASPS	0
171	CytolyticScore	GAGE13	NA	NA	ASPS	0
172	T.cells_CD8	GAGE2A	NA	NA	ASPS	0
173	CytolyticScore	GAGE2A	NA	NA	ASPS	0
174	T.cells_CD8	GPAT2	 2.941176e-03	9.913748e-01	ASPS	0
175	CytolyticScore	GPAT2	 1.558824e-01	5.642820e-01	ASPS	0
176	T.cells_CD8	GPATCH2	 1.441176e-01	5.943783e-01	ASPS	0
177	CytolyticScore	GPATCH2	 6.764706e-02	8.034203e-01	ASPS	0
178	T.cells_CD8	HEMGN	-2.149222e-02	9.370297e-01	ASPS	0
179	CytolyticScore	HEMGN	 3.070317e-03	9.909961e-01	ASPS	0
180	T.cells_CD8	HORMAD1	 8.823529e-02	7.452221e-01	ASPS	0
181	CytolyticScore	HORMAD1	 1.588235e-01	5.568613e-01	ASPS	0
182	T.cells_CD8	HORMAD2	-6.375458e-02	8.145429e-01	ASPS	0
183	CytolyticScore	HORMAD2	-1.738761e-02	9.490396e-01	ASPS	0
184	T.cells_CD8	HSPB9	 6.647059e-01	4.967386e-03	ASPS	0
185	CytolyticScore	HSPB9	 7.617647e-01	6.053428e-04	ASPS	0
186	T.cells_CD8	IGF2BP3	 1.941176e-01	4.712897e-01	ASPS	0
187	CytolyticScore	IGF2BP3	 2.676471e-01	3.162544e-01	ASPS	0
188	T.cells_CD8	IGSF11	-3.235294e-01	2.215741e-01	ASPS	0
189	CytolyticScore	IGSF11	-2.323529e-01	3.865113e-01	ASPS	0
190	T.cells_CD8	IL13RA2	-2.970588e-01	2.638630e-01	ASPS	0
191	CytolyticScore	IL13RA2	-2.323529e-01	3.865113e-01	ASPS	0
192	T.cells_CD8	KDM5B	 3.823529e-02	8.881977e-01	ASPS	0
193	CytolyticScore	KDM5B	-1.588235e-01	5.568613e-01	ASPS	0
194	T.cells_CD8	KIAA0100	-1.294118e-01	6.328823e-01	ASPS	0
195	CytolyticScore	KIAA0100	-5.588235e-02	8.371372e-01	ASPS	0
196	T.cells_CD8	KIF20B	 1.294118e-01	6.328823e-01	ASPS	0
