row	column	cor	p	group
116	T.cells_CD8	BSX	-0.140028008402801	0.604990421586917	ASPS
117	CytolyticScore	BSX	-0.140028008402801	0.604990421586917	ASPS
118	T.cells_CD8	CASZ1	-0.0264705882352941	0.922480570501729	ASPS
119	CytolyticScore	CASZ1	0.0764705882352941	0.778340980960703	ASPS
120	T.cells_CD8	CDC5L	-0.655882352941176	0.00580073696223149	ASPS
121	CytolyticScore	CDC5L	-0.702941176470588	0.00238695266930078	ASPS
122	T.cells_CD8	CDX1	0.135294117647059	0.617367408970642	ASPS
123	CytolyticScore	CDX1	0.273529411764706	0.305323156307405	ASPS
124	T.cells_CD8	CDX2	0.420084025208403	0.105228057983522	ASPS
125	CytolyticScore	CDX2	0.364072821847283	0.165658125291233	ASPS
126	T.cells_CD8	CDX4	-0.407663167715726	0.117027495382427	ASPS
127	CytolyticScore	CDX4	-0.382631218820901	0.143543338496929	ASPS
128	T.cells_CD8	CEBPA	0.265487880754859	0.320323295606031	ASPS
129	CytolyticScore	CEBPA	0.395281955790568	0.129676812499778	ASPS
130	T.cells_CD8	CEBPB	0.202941176470588	0.450961241722709	ASPS
131	CytolyticScore	CEBPB	0.117647058823529	0.664341079162354	ASPS
132	T.cells_CD8	CEBPD	0.479411764705882	0.060239302504316	ASPS
133	CytolyticScore	CEBPD	0.408823529411765	0.115887838148784	ASPS
134	T.cells_CD8	CEBPE	0.102941176470588	0.704410381816771	ASPS
135	CytolyticScore	CEBPE	0.276470588235294	0.299942128492374	ASPS
136	T.cells_CD8	CEBPG	0.120588235294118	0.656424514748595	ASPS
137	CytolyticScore	CEBPG	0.0558823529411765	0.837137221795472	ASPS
138	T.cells_CD8	CIC	-0.317647058823529	0.230573463621845	ASPS
139	CytolyticScore	CIC	-0.297058823529412	0.263863014613523	ASPS
140	T.cells_CD8	CNOT4	-0.426470588235294	0.0994991119375397	ASPS
141	CytolyticScore	CNOT4	-0.552941176470588	0.0263144998706664	ASPS
142	T.cells_CD8	CRAMP1L	-0.114705882352941	0.672291046599723	ASPS
143	CytolyticScore	CRAMP1L	0.0588235294117647	0.828680750033226	ASPS
