GeneName	YSTNormalsStatus	RMS.FNNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	WTNormalsStatus	OSNormalsStatus	UDSNormalsStatus	NB.UnknownNormalsStatus	EWSNormalsStatus	SSNormalsStatus	RMS.FPNormalsStatus	CCSKNormalsStatus	MLNormalsStatus	DSRCTNormalsStatus	TeratomaNormalsStatus	ASPSNormalsStatus	HBLNormalsStatus	RowSum
SPEF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEKT5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABYR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTOA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLRP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LY6K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAGE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PASD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDHC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XAGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XAGE5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYCE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
