GeneName,isSU2CSurfaceProtein,isSurfaceomeSurfaceProtein,isCDDSurfaceProtein,isGOSurfaceProtein,isSurfaceProteinEvidence,AmiGo...GO..Intrinsic,AmiGo...GO..Extrinsic,knowledge,experiments,prediction,textmining,CellSurfaceProteinAtlas,HumanProteinAtlas,Evidence_count,NewCount
CLRN3,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLN8,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLN6,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLMN,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLEC4M,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
CLEC4G,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLEC4F,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLEC1A,Y,Y,N,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,NA,NA,NA,Plasma-membrane-part,Y,Y,6,8
CLDND2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLDN1,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
CLCNKA,Y,Y,N,N,Y,protein-complex|membrane|ion-channel-complex|transmembrane-transporter-complex|macromolecular-complex|BFO_0000001|chloride-channel-complex|intrinsic-component-of-membrane|cellular_component|integral-component-of-membrane|membrane-part|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
CLCN7,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CLCC1,Y,Y,N,N,Y,protein-complex|membrane|ion-channel-complex|transmembrane-transporter-complex|macromolecular-complex|BFO_0000001|chloride-channel-complex|intrinsic-component-of-membrane|cellular_component|integral-component-of-membrane|membrane-part|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CKLF,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CISD2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CHST3,Y,N,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
CHODL,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CHIC1,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
CH25H,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CERS2,Y,N,Y,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
CEPT1,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CEND1,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CECR6,Y,Y,Y,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CECLMP6,N,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|anchored-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,6,8
CECLMP3,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CECLMP21,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CECLMP19,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CDIPT,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
CDIP1,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CDH13,N,N,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|anchored-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,N,7,8
CD99L2,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,NA,NA,Plasma-membrane,Plasma-membrane,N,Y,7,8
CD38,Y,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,N,7,8
CD14,Y,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|anchored-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,N,7,8
CCR8,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
CCPG1,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CCDC90B,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CCDC51,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
CAV3,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
CANX,Y,N,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
CACNG8,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
CACNG7,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
CACNA2D1,N,N,N,Y,Y,plasma-membrane|cation-channel-complex|transmembrane-transporter-complex|ion-channel-complex|cell|intrinsic-component-of-membrane|calcium-channel-complex|cellular_component|voltage-gated-calcium-channel-complex|cell-periphery|protein-complex|plasma-membrane-part|membrane|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,6,8
C6orf25,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,N,8,8
C3orf18,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C1orf162,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C19orf59,Y,Y,N,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
C19orf18,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C17orf78,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C17orf74,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C16orf58,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C15orf27,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,N,N,8,8
C14orf37,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C14orf1,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
C10orf54,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,N,7,8
C10orf35,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
BRI3,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
BNIP3L,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
BNIP3,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
BIK,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
BCL2L2,Y,Y,Y,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
BCL2,Y,N,Y,N,Y,protein-complex|pore-complex|membrane|macromolecular-complex|BFO_0000001|intrinsic-component-of-membrane|cellular_component|membrane-part|integral-component-of-membrane,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
BCAM,Y,N,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,6,8
BACE2,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
B4GALT1,Y,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
ATRAID,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
ATP9B,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP9A,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP8B4,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
ATP8B3,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP8A2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
ATP6V0E2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP6V0E1,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP6V0C,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP6V0B,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP2A1,Y,N,Y,N,Y,protein-complex|membrane|cation-channel-complex|ion-channel-complex|transmembrane-transporter-complex|macromolecular-complex|BFO_0000001|intrinsic-component-of-membrane|membrane-part|calcium-channel-complex|cellular_component|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP13A5,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP13A4,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP13A2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP13A1,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATP11B,Y,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
ATL2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ATG9B,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ASGR2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ASGR1,Y,Y,N,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,N,8,8
ARSF,Y,Y,N,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
ARSE,Y,Y,N,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
AQP8,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
APOB,Y,N,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Y,N,7,8
APH1A,Y,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
AOC3,Y,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,N,7,8
ANKRD46,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ANK2,N,N,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,N,N,8,8
AMIGO3,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
AMFR,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ALPP,Y,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,N,7,8
ALPL,N,N,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,6,8
ALOX5AP,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ALK,N,N,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
AGPAT4,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
AGPAT2,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
AFG3L2,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ADCY5,N,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
ADCY10,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
ADAM22,Y,Y,N,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
ADAM18,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ACSL5,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ACBD5,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABHD6,Y,N,N,Y,Y,ionotropic-glutamate-receptor-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|cell|intrinsic-component-of-plasma-membrane|intrinsic-component-of-membrane|cellular_component|cell-periphery|receptor-complex|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|macromolecular-complex|cell-part|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic-acid-selective-glutamate-receptor-complex|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
ABHD13,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCG8,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
ABCG5,Y,Y,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,7,8
ABCD4,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCD3,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCD2,N,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCC12,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCB8,Y,N,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCB6,Y,N,N,Y,Y,catalytic-complex|plasma-membrane|transmembrane-transporter-complex|cell|intrinsic-component-of-membrane|cellular_component|cell-periphery|ATPase-dependent-transmembrane-transport-complex|protein-complex|plasma-membrane-part|membrane|macromolecular-complex|cell-part|BFO_0000001|integral-component-of-membrane|membrane-part|ATP-binding-cassette-(ABC)-transporter-complex|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
ABCB10,Y,N,Y,N,Y,intrinsic-component-of-membrane|mitochondrial-envelope|envelope|intracellular-membrane-bounded-organelle|mitochondrion|intracellular|cytoplasm|organelle|membrane-bounded-organelle|organelle-membrane|mitochondrial-membrane-part|BFO_0000001|intracellular-organelle|organelle-envelope|mitochondrial-membrane|cell|cellular_component|cytoplasmic-part|intrinsic-component-of-organelle-membrane|membrane|integral-component-of-mitochondrial-membrane|integral-component-of-organelle-membrane|intracellular-organelle-part|mitochondrial-part|cell-part|intracellular-part|integral-component-of-membrane|membrane-part|organelle-part|intrinsic-component-ofmitochondrial-membrane,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCA9,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCA6,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCA13,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,7,8
ABCA12,Y,Y,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,7,8
A4GALT,Y,N,N,N,Y,plasma-membrane|intrinsic-component-of-Golgi-membrane|intrinsic-component-of-membrane|intracellular-membrane-bounded-organelle|cell-periphery|intracellular|Golgi-apparatus-part|cytoplasm|organelle|membrane-bounded-organelle|organelle-membrane|BFO_0000001|intracellular-organelle|bounding-membrane-of-organelle|vacuole|Golgi-apparatus|cell|cellular_component|endomembrane-system|cytoplasmic-part|intrinsic-component-of-organelle-membrane|integral-component-of-Golgi-membrane|membrane|Golgi-membrane|integral-component-of-organelle-membrane|intracellular-organelle-part|cell-part|intracellular-part|membrane-part|integral-component-ofmembrane|organelle-part,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,6,8
ZMPSTE24,Y,N,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,6,7
ZC3HAV1,N,N,N,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Y,N,6,7
YME1L1,Y,N,N,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,6,7
XK,Y,Y,N,N,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,6,7
